"LOCATION_CODE","Occupancy_Right_Desc","OWNED_OR_LEASED_INDICATOR","REGION_CODE","STREET_ADDRESS","CITY","STATE_CD","ZIPCODE5","Latitude","Longitude","BUILDING_RSF","BLD_VACANT_RSF","YEAR_BUILT","WALK_SCORE","TRANSIT_SCORE","CONGRESSIONAL_DISTRICT_CODE","Fed_POC","Fed_POC_Email","REPRESENTATIVE","REPRESENTATIVE_URL","LEASE_NUM","LEASE_EFFECTIVE_DATE","LEASE_EXPIRATION_DATE"
"DC0717","Leased","D","11","425 3RD ST SW","WASHINGTON","DC","20024","38.88361","-77.015541","76,200","0","","83","91","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02197","2/15/2011","2/14/2026"
"DC0295","Leased","L","11","1120 VERMONT AVE NW","WASHINGTON","DC","20005","38.90487","-77.033061","0","0","1981","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1261","Leased","L","11","425 EYE ST NW","WASHINGTON","DC","20001","38.901351","-77.016904","255,615","50,367","1973","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1261","Leased","D","11","425 EYE ST NW","WASHINGTON","DC","20001","38.901351","-77.016904","255,615","50,367","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00490","8/7/2022","8/6/2037"
"DC1261","Leased","D","11","425 EYE ST NW","WASHINGTON","DC","20001","38.901351","-77.016904","255,615","50,367","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02178","6/6/2011","6/5/2026"
"DC1410","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.938414","-77.081573","7,609","0","1943","60","53","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0133","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1902","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1420","Owned","F","11","3801 NEBRASKA AVE NW","WASHINGTON","DC","20016","38.9396163","-77.084372","3,398","0","1958","72","51","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1424","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9380064","-77.081463","518","0","2000","60","53","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0313","Owned","F","11","633 3RD ST NW","WASHINGTON","DC","20001","38.89805","-77.014851","109,910","4,453","1983","94","99","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1405","Owned","F","11","3801 NEBRASKA AVE NW","WASHINGTON","DC","20016","38.9396163","-77.084372","6,372","6,792","1924","72","51","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0319","Leased","L","11","1301 NEW YORK AVE","WASHINGTON","DC","20005","38.9004518","-77.029936","201,281","0","2000","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0319","Leased","D","11","1301 NEW YORK AVE","WASHINGTON","DC","20005","38.9004518","-77.029936","201,281","0","","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12548","3/12/2014","3/11/2029"
"DC1340","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","168,601","48,394","2011","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1472","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1413","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9391586","-77.083267","58,430","0","1944","74","52","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0463","Owned","F","11","601 4TH ST NW","WASHINGTON","DC","20001","38.89782","-77.015701","316,536","0","1997","96","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1417","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9388414","-77.082467","1,948","1,726","1952","60","53","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1456","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1882","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0335","Leased","L","11","950 L'ENFANT PLZ SW","WASHINGTON","DC","20024","38.8835476","-77.025157","122,831","66,390","2000","89","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0335","Leased","D","11","950 L'ENFANT PLZ SW","WASHINGTON","DC","20024","38.8835476","-77.025157","122,831","66,390","","89","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12723","10/12/2015","10/11/2025"
"DC0335","Leased","D","11","950 L'ENFANT PLZ SW","WASHINGTON","DC","20024","38.8835476","-77.025157","122,831","66,390","","89","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12708","10/12/2015","10/11/2025"
"DC0335","Leased","D","11","950 L'ENFANT PLZ SW","WASHINGTON","DC","20024","38.8835476","-77.025157","122,831","66,390","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00735","11/7/2023","11/6/2033"
"DC0046","Owned","F","11","2201 C ST NW","WASHINGTON","DC","20522","38.8944189","-77.048389","2,212,683","2,905","1941","86","79","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1403","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9403404","-77.082631","36,495","34,893","1943","68","54","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0235","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","2,495","0","2012","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0523","Owned","F","11","1301 CONSTITUTION AVE NW","WASHINGTON","DC","20004","38.89272","-77.030351","132,387","0","1934","73","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0400","Owned","F","11","301 13TH ST SW","WASHINGTON","DC","20003","38.913","-77.0745","240,240","0","1934","78","58","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0078","Owned","F","11","1724 F STREET NW","WASHINGTON","DC","20505","38.8969889","-77.04081","46,315","0","1911","96","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1449","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","17,904","0","1902","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0293","Leased","L","11","429 L'ENFANT PLAZA, SW","WASHINGTON","DC","20024","38.883605","-77.02489","15,977","0","1997","89","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0293","Leased","D","11","429 L'ENFANT PLAZA, SW","WASHINGTON","DC","20024","38.883605","-77.02489","15,977","0","","89","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02210","11/30/2010","11/29/2025"
"DC0137","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1904","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0466","Leased","L","11","518 23RD ST NW","WASHINGTON","DC","20037","38.8962362","-77.050164","2,766","0","2000","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0466","Leased","D","11","518 23RD ST NW","WASHINGTON","DC","20037","38.8962362","-77.050164","2,766","0","","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00277","1/22/2017","1/21/2027"
"DC1404","Owned","F","11","3801 NEBRASKA AVE NW","WASHINGTON","DC","20016","38.9396163","-77.084372","29,894","29,593","1944","72","51","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1372","Leased","L","11","3030-3070 V STREET NE","WASHINGTON","DC","20018","38.9188718","-76.965394","106,558","0","2000","53","42","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1372","Leased","D","11","3030-3070 V STREET NE","WASHINGTON","DC","20018","38.9188718","-76.965394","106,558","0","","53","42","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00237","2/12/2016","2/11/2026"
"DC0290","Leased","L","11","500 D ST NW","WASHINGTON","DC","20001","38.89477","-77.019421","349,701","0","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0290","Leased","D","11","500 D ST NW","WASHINGTON","DC","20001","38.89477","-77.019421","349,701","0","","59","87","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00334","9/30/2019","9/29/2039"
"DC1465","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1902","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0364","Leased","L","11","650 MASSACHUSETTS AVE NW","WASHINGTON","DC","20001","38.90143","-77.020911","0","0","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0093","Owned","F","11","1000 INDEPENDENCE AVE SW","WASHINGTON","DC","20585","38.8870589","-77.025934","1,445,097","0","1968","71","97","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0110","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1902","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0650","Owned","F","11","M STREET SE","WASHINGTON","DC","20370","38.8756077","-77.004814","0","0","","96","74","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1343","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","9,728","0","1878","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1414","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.93875","-77.083604","33,961","25,755","1944","74","52","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1400","Owned","F","11","3801 NEBRASKA AVE NW","WASHINGTON","DC","20016","38.9396163","-77.084372","87,162","92,402","1916","72","51","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0670","Leased","L","11","1201 M ST SE","WASHINGTON","DC","20003","38.87585","-76.989301","34,136","0","2000","52","77","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0670","Leased","D","11","1201 M ST SE","WASHINGTON","DC","20003","38.87585","-76.989301","34,136","0","","52","77","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00165","4/30/2017","4/29/2027"
"DC0123","Owned","F","11","730 JACKSON PL NW","WASHINGTON","DC","20006","38.89962","-77.038401","3,127","0","1869","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0376","Leased","L","11","470/490 LENFANT PLAZA SW","WASHINGTON","DC","20024","38.8839614","-77.023848","186,240","0","2000","89","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0376","Leased","D","11","470/490 LENFANT PLAZA SW","WASHINGTON","DC","20024","38.8839614","-77.023848","186,240","0","","89","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02211","11/30/2010","11/29/2025"
"DC0376","Leased","D","11","470/490 LENFANT PLAZA SW","WASHINGTON","DC","20024","38.8839614","-77.023848","186,240","0","","89","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00205","12/31/2016","12/30/2026"
"DC0376","Leased","D","11","470/490 LENFANT PLAZA SW","WASHINGTON","DC","20024","38.8839614","-77.023848","186,240","0","","89","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00200","10/25/2017","10/24/2027"
"DC0376","Leased","D","11","470/490 LENFANT PLAZA SW","WASHINGTON","DC","20024","38.8839614","-77.023848","186,240","0","","89","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00476","6/30/2021","6/29/2036"
"DC0595","Owned","F","11","2300 E ST NW","WASHINGTON","DC","20037","38.8959556","-77.050203","12,546","0","1910","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0321","Leased","L","11","555 4TH ST NW","WASHINGTON","DC","20001","38.89686","-77.015701","0","0","2000","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1422","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9380688","-77.083149","5,992","0","1959","74","52","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0245","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","11,834","0","2012","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0079","Owned","F","11","330 21ST ST NW","WASHINGTON","DC","20006","38.893986","-77.046705","21,702","0","2016","86","81","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4208","Leased","L","3","250 E ST SW","WASHINGTON","DC","20024","38.88293","-77.014501","54,562","13,549","2000","70","89","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4208","Leased","D","3","250 E ST SW","WASHINGTON","DC","20024","38.88293","-77.014501","54,562","13,549","","70","89","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","LDC00060","1/22/2019","1/21/2029"
"DC4208","Leased","D","3","250 E ST SW","WASHINGTON","DC","20024","38.88293","-77.014501","54,562","13,549","","70","89","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","LDC00051","4/30/2017","4/29/2027"
"DC0367","Leased","L","11","801 EYE ST NW","WASHINGTON","DC","20001","38.900899","-77.023065","174,564","0","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0367","Leased","D","11","801 EYE ST NW","WASHINGTON","DC","20001","38.900899","-77.023065","174,564","0","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00002","6/30/2017","6/29/2027"
"DC0367","Leased","D","11","801 EYE ST NW","WASHINGTON","DC","20001","38.900899","-77.023065","174,564","0","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00292","11/20/2017","11/19/2027"
"DC0172","Owned","F","11","NAVY YARD SE","WASHINGTON","DC","20370","38.8763909","-76.995027","0","0","","96","78","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1344","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","46,173","0","1910","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0091","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20593","38.852973","-77.001156","84,324","0","2019","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1411","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9383872","-77.081276","5,430","0","1929","60","53","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0720","Owned","F","11","940 H STREET, NW","WASHINGTON","DC","20002","38.899505","-77.02572","27,000","0","1882","97","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0368","Leased","L","11","625 INDIANA AVE NW","WASHINGTON","DC","20004","38.89456","-77.020711","150,888","0","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0368","Leased","D","11","625 INDIANA AVE NW","WASHINGTON","DC","20004","38.89456","-77.020711","150,888","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00461","4/15/2021","4/14/2036"
"DC0368","Leased","D","11","625 INDIANA AVE NW","WASHINGTON","DC","20004","38.89456","-77.020711","150,888","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00382","10/31/2020","10/30/2035"
"DC0368","Leased","D","11","625 INDIANA AVE NW","WASHINGTON","DC","20004","38.89456","-77.020711","150,888","0","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12690","3/7/2016","3/6/2026"
"DC0368","Leased","D","11","625 INDIANA AVE NW","WASHINGTON","DC","20004","38.89456","-77.020711","150,888","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00433","10/31/2020","10/30/2030"
"DC0631","Owned","F","11","M STREET SE","WASHINGTON","DC","20370","38.8754253","-76.998641","0","0","1939","89","76","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0029","Owned","F","11","1100 PENNSYLVANIA AVE NW","WASHINGTON","DC","20004","38.89406","-77.027581","414,691","0","1899","97","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0074","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1899","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0222","Leased","L","11","1530 29TH ST NW","WASHINGTON","DC","20007","38.910114","-77.058423","347","347","2000","89","69","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0222","Leased","D","11","1530 29TH ST NW","WASHINGTON","DC","20007","38.910114","-77.058423","347","347","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00574","3/10/2021","1/30/2025"
"DC0114","Owned","F","11","400 2ND ST NW","WASHINGTON","DC","20217","38.895444","-77.014787","171,077","8,066","1974","93","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0087","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1899","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0049","Leased","L","11","450 5TH ST NW","WASHINGTON","DC","20001","38.89558","-77.019391","477,473","7,638","2000","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0049","Leased","D","11","450 5TH ST NW","WASHINGTON","DC","20001","38.89558","-77.019391","477,473","7,638","","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC01932","11/7/2007","7/10/2025"
"DC0281","Leased","L","11","5533 33RD ST NW","WASHINGTON","DC","20015","38.964393","-77.066127","2,061","2,061","2000","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0281","Leased","D","11","5533 33RD ST NW","WASHINGTON","DC","20015","38.964393","-77.066127","2,061","2,061","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00699","12/6/2023","1/30/2025"
"DC1418","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9394668","-77.083446","5,533","0","1944","77","53","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1170","Leased","L","11","400 7TH ST SW","WASHINGTON","DC","20024","38.88401","-77.020891","561,458","259,130","2000","86","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1170","Leased","D","11","400 7TH ST SW","WASHINGTON","DC","20024","38.88401","-77.020891","561,458","259,130","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00587","4/30/2022","10/30/2037"
"DC1170","Leased","D","11","400 7TH ST SW","WASHINGTON","DC","20024","38.88401","-77.020891","561,458","259,130","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00761","2/29/2024","2/27/2039"
"DC1170","Leased","D","11","400 7TH ST SW","WASHINGTON","DC","20024","38.88401","-77.020891","561,458","259,130","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00762","2/29/2024","2/27/2039"
"DC1170","Leased","D","11","400 7TH ST SW","WASHINGTON","DC","20024","38.88401","-77.020891","561,458","259,130","","86","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12549","2/28/2014","1/30/2025"
"DC1234","Leased","L","11","131 M ST NE","WASHINGTON","DC","20002","38.90515","-77.004701","234,230","414","2000","94","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1234","Leased","D","11","131 M ST NE","WASHINGTON","DC","20002","38.90515","-77.004701","234,230","414","","94","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC01858","9/7/2006","9/6/2026"
"DC1234","Leased","D","11","131 M ST NE","WASHINGTON","DC","20002","38.90515","-77.004701","234,230","414","","94","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00388","10/8/2018","10/7/2033"
"DC1234","Leased","D","11","131 M ST NE","WASHINGTON","DC","20002","38.90515","-77.004701","234,230","414","","94","82","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12657","12/31/2014","1/30/2025"
"DC0510","Leased","L","11","520 23RD ST NW","WASHINGTON","DC","20037","38.8962489","-77.050164","3,542","0","2000","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0510","Leased","D","11","520 23RD ST NW","WASHINGTON","DC","20037","38.8962489","-77.050164","3,542","0","","94","80","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00145","2/28/2017","2/27/2027"
"DC0167","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","1,170","0","1874","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4205","Leased","L","3","2041 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20020","38.8659","-76.989791","12,420","0","2000","78","77","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC4205","Leased","D","3","2041 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20020","38.8659","-76.989791","12,420","0","","78","77","1198","Dorothy Grosick","dorothy.grosick@gsa.gov","Norton, Eleanor (D)","https://norton.house.gov/","LDC00266","11/27/2019","11/26/2029"
"DC0028","Owned","F","11","1200 PENNSYLVANIA AVE NW","WASHINGTON","DC","20004","38.89477","-77.028961","735,471","0","1934","91","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1474","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.852973","-77.001156","0","0","2000","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0027","Owned","F","11","2701 SOUTH CAPITOL ST.","WASHINGTON","DC","20373","38.85909","-77.0045","103,975","0","2010","28","71","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
